"","white","black","hisp","marnvr","marapt","agelt20","age2024","age2534","age3544","agege45","agelt24","agege24","agelt30","agege30","anyernpq8","anyernpq6","anyernpq5","anyernpq4","anyernpq3","anyernpq2","anyernpq1","anyadcpq7","anyadcpq6","anyadcpq5","anyadcpq4","anyadcpq3","anyadcpq2","anyadcpq1","anyfstpq7","anyfstpq6","anyfstpq5","anyfstpq4","anyfstpq3","anyfstpq2","anyfstpq1","nohsged","hsged","applcant","anyernpq","anyadcpq","anyfstpq","yrern","yremp","yradc","yrfst","yrernsq","yrvad","yrkvad","yrvfs","ernpq8","ernpq6","ernpq5","ernpq4","ernpq3","ernpq2","ernpq1","adcpq7","adcpq6","adcpq5","adcpq4","adcpq3","adcpq2","adcpq1","fstpq7","fstpq6","fstpq5","fstpq4","fstpq3","fstpq2","fstpq1","treatmnt","on_welfare"
"1",1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,-1666.68169480092,-22.408413510539,4194.54121788105,2445.71338757861,-59021539.8693555,106.383198400637,1726.27438991777,98.1120644814344,-649.682498064462,17.2295381723521,-479.102537539145,-1208.03258124234,415.407166465204,-492.824135658756,177.439260970655,1717.01485443835,1135.46975523801,417.225275583681,-521.092815168988,2285.3220694352,2270.09940386261,1747.62690007028,679.963843310298,363.082442881644,315.157113285767,-68.1880783082115,888.706455498979,354.913326364774,521.420788100789,0,1
"2",1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,1,988.583454366163,104.618251518204,7242.18721252973,3435.30954094214,97421300.0053594,85.0844485833391,872.310247959654,118.757476511268,-691.759832006349,-169.345847575128,21.5579681410746,1286.85249786745,-210.033040391872,1279.96119402694,1755.34772015672,2192.88715962051,2363.55334452699,3020.89641193816,2120.23519214431,1605.42644529991,2160.80648376014,2932.02682988861,782.588430990324,835.437493635508,728.676653300137,1148.43804996358,1253.32676434142,888.335730505987,674.968958595655,0,1
"3",0,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,-2223.19169916992,39.6705515663616,4505.01243267106,2449.07170404642,-88125801.3046868,120.566413180683,509.894782799686,89.6552047674755,-119.918373222867,-1260.38496768879,-1229.35059415262,-780.632040457749,1330.29000250145,1579.82771339178,-232.829760861822,499.346160483278,-106.629151633047,-725.308993899281,-150.850451320075,1295.27955064682,2554.86180891647,2098.2451390688,141.631704511571,66.8142601278371,-189.698725427264,-84.6207236195034,264.22159235274,458.501552998806,788.235045557993,1,0
"4",0,1,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,1,1,4244.24796433075,-28.2411804180004,-1803.12590986513,400.647753345691,4923478.74258492,40.8931269963538,-112.890517826357,-12.2944706258575,-235.206131666624,-550.692888844999,-1104.59614490532,-750.655571402865,140.375860274342,1114.80495816468,615.085437447809,-657.872255719955,-374.031934021702,-128.39744052203,-240.03013343429,-556.244362057056,-513.174244532548,115.706444060221,278.123030248544,-92.9277129588278,52.8862530235733,142.850958873463,-258.835720869698,-330.180315107323,168.659586780826,1,1
"5",1,1,0,1,1,0,1,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,1,0,1,1,1,1,0,876.656127174851,-2.00500098087225,306.406836838114,1099.54368071889,120129889.155018,0.572667249740085,-265.781444521614,16.4281997301505,369.669302684864,270.715364616253,955.308684514647,-1629.92675716758,856.197878074515,-26.9108612853656,334.565673022201,522.856852646358,353.356124627999,-154.050505622858,429.622452131203,-186.403585896312,886.975279707458,-82.5708380515826,154.5559678356,134.936345220733,-246.744871868976,-70.8659513937444,-194.196853381071,29.5113043030226,-209.281777437967,1,1
"6",1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1,12817.1421204191,103.308373691519,47.1450062988228,963.365196471203,182680530.985297,8.71337387775664,-259.376065606906,97.5921197616097,-1005.60027875097,1358.25853738985,2142.75682659668,1977.82676432656,3211.3912052503,3717.32639437718,6239.35453428577,-213.370095574826,-75.7941795005886,164.905197330604,-103.673248850366,237.762036299079,174.833040054762,734.230067372895,171.752345018686,42.3572002343453,-73.2823531883948,25.7211237185846,52.4339710244977,296.405172582291,675.887472627636,0,1
"7",0,0,1,1,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,1296.80602985566,17.6874624009146,133.681679081086,-861.317639333557,-33142421.9308656,-30.9967557814368,204.849094069633,-3.80080229716152,1309.93353651575,-1110.33846027884,1072.94323603011,-257.300996734715,921.380143038656,-48.3112743477992,15.622739075521,-458.228557180876,445.247009165442,-597.624764134742,354.742287183702,-1206.21095410228,-633.810362620178,-26.0905066556654,-43.1263037817719,70.7888399404261,285.219849917001,22.1398088942602,1.22292307822412,53.6126322281639,-92.8687691656592,1,1
"8",1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,11364.3144470619,94.011411161171,1747.53327321349,1856.71366474757,43761856.6675343,17.4876324744758,-32.0236763119391,75.7087655033987,3184.58788664801,2965.74668262506,3706.57181594454,2687.39064825296,3877.36542291059,3295.99010017979,747.793231402528,28.9539411543836,785.591233439093,1086.49620865388,-326.283609445472,-362.741134222843,-377.374244879915,-64.3169963447543,158.060890399952,-74.2774240098306,484.099099165303,658.257653895197,605.552765108423,453.739577206785,484.349082811769,1,0
"9",1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,0,0,1,1531.86750970746,49.5798766345568,4692.44634808952,4274.94832532429,-20059095.0160554,101.062414042445,1241.79940121127,32.7942376944798,-210.194385094063,-1495.06900104022,-37.0640123790319,-86.8665787988747,-273.814263339541,-280.694491733902,-90.5781929211193,2116.8934213699,1766.81210835719,1678.73885312557,1536.18881015404,1457.2784582218,1675.62905977161,1571.02452963205,607.046509284747,464.918756299179,616.389848752988,743.095768431101,1129.10540362733,693.530567955356,824.693534468269,0,1
"10",0,0,0,1,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,-212.486453031773,96.5325606891177,10433.4755101303,5644.49572991814,10054127.3296193,75.1781200087972,1799.64101225385,86.7605283772459,-307.505170812303,-235.728367977441,-813.961758858847,349.228112305537,828.184268505105,776.771080088884,-136.980585852904,2811.076479151,2717.77000511495,3246.01316855575,2269.79203144251,2018.10899171697,1949.03393094527,2018.76775525452,1294.37576966432,900.368117732485,890.477934713491,1122.62946360874,1092.24050292767,1534.07894365817,1347.90285970665,1,1
