"1" "2" "3" "4" "5"
"intercept" 0.3015 0.5285 0.9764 0.0352 2.0563
"white" 0 0 0 0.9056 1.4269
"black" 0 0 0 1.0234 1.4561
"hisp" 0 0 0 0.3423 1.4717
"marnvr" 0 0 0 -0.3949 1.5914
"marapt" 0 0 0 -0.1669 1.607
"yrern" 0 0 0 1e-04 1e-04
"yrernsq" 0 0 0 0 0
"yradc" 0 0 0 -1e-04 3e-04
"yrfst" 0 0 0 3e-04 5e-04
"yremp" 0 0 0 -0.0025 0.0114
"yrvad" 0 0 0 0.0056 0.0217
"yrvfs" 0 0 0 -0.0022 0.0198
"yrkvad" 0 -0.0217 -0.1355 -0.1152 0.1718
"anyernpq" 0 0 0 0.0609 1.0867
"anyadcpq" 0 0 0 0.2118 1.9402
"anyfstpq" 0 0 0 -0.5108 1.9376
"nohsged" 0 0 0 0.5753 0.6115
"applcant" 0 0 0 0.1822 0.8995
