"1" "2" "3" "4" "5"
"intercept" 0.0439 0.1845 0.5688 0.4174 1.0019
"white" 0 0 0 0.4573 0.5285
"black" 0 0 0 0.4412 0.5243
"hisp" 0 0 0 -0.2603 0.5256
"marnvr" 0 0 0 0.0598 0.524
"marapt" 0 0 0 -0.2726 0.5248
"yrern" 0 0 0 0 1e-04
"yrernsq" 0 0 0 0 0
"yradc" 0 0 0 -1e-04 1e-04
"yrfst" 0 0 0 -2e-04 3e-04
"yremp" 0 0 0 0.0035 0.0052
"yrvad" 0 0 0 -0.0033 0.0072
"yrvfs" 0 0 0 0.0038 0.0067
"yrkvad" 0 -0.0107 -0.1109 -0.0518 0.0697
"anyernpq" 0 0 0 -0.099 0.5236
"anyadcpq" 0 0 0 0.0031 0.5247
"anyfstpq" 0 0 0 -0.3318 0.5234
"nohsged" 0 0 0 -0.3168 0.5273
"applcant" 0 0 0 0.0437 0.5247
